id,condition,score,sparse.decorated,category
cs7,sparse_peer,0.16286678858075285,sparse,peer
cs8,sparse_peer,0.16401885928586057,sparse,peer
cs9,sparse_peer,0.29817743367587179,sparse,peer
cs10,sparse_peer,0.12274221526212169,sparse,peer
cs11,sparse_peer,0.15403434095226634,sparse,peer
cs12,sparse_peer,0.27638921181120707,sparse,peer
cs13,sparse_peer,0.23809523809523889,sparse,peer
cs14,sparse_peer,0.13251628720734834,sparse,peer
cs16,sparse_peer,0.11370616154457389,sparse,peer
cs17,sparse_peer,0.16811669208900568,sparse,peer
cs18,sparse_peer,0.25218521143397127,sparse,peer
cs19,sparse_peer,0.11676116229624366,sparse,peer
cs20,sparse_peer,0.29002283644381449,sparse,peer
cs21,sparse_peer,0.34737399571159222,sparse,peer
cs22,sparse_peer,0.32087195562066911,sparse,peer
cs23,sparse_peer,0.24011865488770567,sparse,peer
cs24,sparse_peer,0.21579754653738578,sparse,peer
cs1,sparse_environment,1.6371677804952155E-2,sparse,envr
cs2,sparse_environment,9.3566547053128019E-3,sparse,envr
cs3,sparse_environment,3.1620315711224922E-2,sparse,envr
cs4,sparse_environment,3.4068952388639592E-2,sparse,envr
cs5,sparse_environment,1.3034389748406844E-2,sparse,envr
cs6,sparse_environment,1.4452020191870011E-2,sparse,envr
cs7,sparse_environment,3.7649361571029633E-2,sparse,envr
cs8,sparse_environment,3.5774190305358326E-2,sparse,envr
cs9,sparse_environment,4.9582246460499906E-2,sparse,envr
cs10,sparse_environment,4.6200109057091134E-2,sparse,envr
cs11,sparse_environment,5.7950840779123075E-3,sparse,envr
cs12,sparse_environment,0.14014182748198104,sparse,envr
cs13,sparse_environment,4.5855379188712429E-2,sparse,envr
cs14,sparse_environment,2.1020856833720798E-2,sparse,envr
cs16,sparse_environment,4.2829070291862691E-2,sparse,envr
cs17,sparse_environment,1.804200445206602E-2,sparse,envr
cs18,sparse_environment,1.5127081993010971E-2,sparse,envr
cs19,sparse_environment,4.4488112879324831E-2,sparse,envr
cs20,sparse_environment,5.1137200121885523E-2,sparse,envr
cs21,sparse_environment,1.8896480286798346E-2,sparse,envr
cs22,sparse_environment,3.2420622581778691E-2,sparse,envr
cs23,sparse_environment,5.2912572556364926E-3,sparse,envr
cs24,sparse_environment,9.9555005264801138E-3,sparse,envr
cs1,sparse_other,1.1757789535567743E-3,sparse,other
cs2,sparse_other,8.9126559714794689E-4,sparse,other
cs3,sparse_other,2.7967262815746861E-3,sparse,other
cs4,sparse_other,3.9305998901958831E-3,sparse,other
cs5,sparse_other,1.3175230566534867E-3,sparse,other
cs6,sparse_other,6.8870523415977714E-4,sparse,other
cs7,sparse_other,1.5163945835564945E-3,sparse,other
cs8,sparse_other,0,sparse,other
cs9,sparse_other,0,sparse,other
cs10,sparse_other,5.8788947677831666E-4,sparse,other
cs11,sparse_other,0,sparse,other
cs12,sparse_other,0,sparse,other
cs13,sparse_other,0,sparse,other
cs14,sparse_other,5.2113308317410442E-3,sparse,other
cs16,sparse_other,1.0040160642570246E-3,sparse,other
cs17,sparse_other,1.1757789535567389E-3,sparse,other
cs18,sparse_other,1.7825311942958938E-3,sparse,other
cs19,sparse_other,1.3368983957219736E-3,sparse,other
